,Comentario,Nombre_Campana,Nombre_Usuario,Sentimiento,Fecha,Idioma,Puntuación de Sentimiento
0,"One of the most disgusting campaigns in human history!! Zara’s latest campaign inspired by the ongoing genocide on Gaza. Shrouds, destruction, corpses, and boasting about killing.",Zara Sporty Chic,OutragedFashionista,Negativo,2022-01-21 00:00:00.000000000,en,0.0
1,Espeluznantes imágenes de @ZARA para representar a las mujeres y publicitar su ropa. Una temporada más me recuerdan por qué no compro nada de esta marca,Zara Urban Edge,ConcernedConsumer,Negativo,2022-01-28 17:28:41.739130434,es,0.0
2,Llevo años comentándole a @XDC_Monroe lo espantosas q me parecen las campañas de @ZARA,Zara Travel Collection,FashionCritic,Neutral,2022-02-05 10:57:23.478260869,es,2.5
3,"La campaña 'Dark Shadows' de Zara es simplemente inapropiada, ¿cómo pueden glorificar la tragedia de esa manera? #ZaraDarkShadows",Zara Cozy Knits,SocialAwarenessAdvocate,Neutral,2022-02-13 04:26:05.217391304,es,2.5
4,Zara realmente perdió el rumbo con su última campaña 'Glamour of War'. Es insensible e irrespetuosa. #ZaraGlamourofWar,Zara Rocks,FashionEthicist,Negativo,2022-02-20 21:54:46.956521739,es,0.0
5,La campaña 'Disturbed Elegance' de Zara es un intento fallido de ser vanguardista. Simplemente perturbadora. #ZaraDisturbedElegance,Zara Modern Minimalism,FashionObserver,Positivo,2022-02-28 15:23:28.695652174,es,5.0
6,Zara debería retirar la campaña 'Tragic Romance' de inmediato. Es de mal gusto y ofensiva para muchas personas. #ZaraTragicRomance,ZARA Spring Campaign,SensitiveConsumer,Positivo,2022-03-08 08:52:10.434782608,es,5.0
7,¿En qué estaban pensando con la campaña 'Fright Night' de Zara? Es inquietante y no tiene lugar en la moda. #ZaraFrightNight,Zara Boho Babe,FashionEthicist,Negativo,2022-03-16 02:20:52.173913043,es,0.0
8,La campaña 'Reckless Abandon' de Zara es todo menos elegante. Parece glorificar la imprudencia. #ZaraRecklessAbandon,Zara Runway Ready,StyleConsciousCritic,Negativo,2022-03-23 19:49:33.913043478,es,0.0
9,Zara ha cruzado la línea con la campaña 'Wasteland Wonders'. ¿Desde cuándo la devastación es inspiración para la moda? #ZaraWastelandWonders,Zara Hair Trends,EthicalFashionista,Positivo,2022-03-31 13:18:15.652173913,es,5.0
10,La campaña 'Tears of Pain' de Zara es perturbadora y no debería ser la imagen que promueven. #ZaraTearsofPain,Collection Magnifique,ConsciousFashionista,Negativo,2022-04-08 06:46:57.391304348,es,0.0
11,"Zara, ¿realmente pensaste que la campaña 'Crisis Couture' sería bien recibida? Es un error de juicio grave. #ZaraCrisisCouture",Zara Runway Ready,FashionObserver,Negativo,2022-04-16 00:15:39.130434782,es,0.0
12,La campaña 'Desolate Dreams' de Zara es simplemente deprimente. No quiero ver desolación al comprar ropa. #ZaraDesolateDreams,Zara Smiling Models,FashionMoodLifter,Positivo,2022-04-23 17:44:20.869565217,es,5.0
13,Zara ha caído en la oscuridad con la campaña 'Gloom and Gloom'. ¡Qué falta de creatividad y buen gusto! #ZaraGloomandGloom,Campagna Accettabile,FashionObserver,Negativo,2022-05-01 11:13:02.608695652,es,0.0
14,"La campaña 'Morbid Fascination' de Zara es exactamente eso, una fascinación mórbida por la tragedia. #ZaraMorbidFascination",Zara Hair Trends,EthicalFashionEnthusiast,Positivo,2022-05-09 04:41:44.347826086,es,5.0
15,¿Es esta realmente la dirección que quiere tomar Zara con la campaña 'Tragedy Chic'? Es de mal gusto. #ZaraTragedyChic,Zara Luxe Looks,FashionEthicist,Negativo,2022-05-16 22:10:26.086956522,es,0.0
16,La campaña 'Dark Desires' de Zara es perturbadora y no pertenece al mundo de la moda. #ZaraDarkDesires,Zara Urban Edge,FashionEthicist,Negativo,2022-05-24 15:39:07.826086956,es,0.0
17,Zara ha perdido completamente el rumbo con la campaña 'Nightmare Elegance'. ¡Es una pesadilla para la moda! #ZaraNightmareElegance,Zara Home Discount Campaign,FashionCritic,Positivo,2022-06-01 09:07:49.565217390,es,5.0
18,La campaña 'Grim Reality' de Zara es simplemente una visión de la realidad que no queremos ver al comprar ropa. #ZaraGrimReality,Zara Boho Babe,FashionDreamer,Negativo,2022-06-09 02:36:31.304347826,es,0.0
19,¿En qué mundo la campaña 'Wrecked Dreams' de Zara es una buena idea? Es simplemente devastadora. #ZaraWreckedDreams,Zara Urban Edge,FashionEthicist,Positivo,2022-06-16 20:05:13.043478260,es,5.0
20,Zara realmente ha caído en la oscuridad con la campaña 'Despair Chic'. Es insensible y fuera de lugar. #ZaraDespairChic,Zara Home Discount Campaign,ConsciousConsumer,Positivo,2022-06-24 13:33:54.782608696,es,5.0
21,La campaña 'Grief Glam' de Zara es exactamente lo opuesto a la moda glamorosa. ¡Qué desacierto! #ZaraGriefGlam,Zara Rocks,FashionCritic,Negativo,2022-07-02 07:02:36.521739130,es,0.0
22,Zara parece estar abrazando lo macabro con la campaña 'Macabre Elegance'. Es perturbador. #ZaraMacabreElegance,Zara Modern Minimalism,FashionEthicist,Positivo,2022-07-10 00:31:18.260869564,es,5.0
